node,in_degree,out_degree,degree_ratio,degree_balance,in_amount_sum,out_amount_sum,flow_passthrough,pagerank,clustering_coefficient,cycle_participation,reciprocity,fan_in_concentration,txn_velocity,burst_ratio,amount_cv,counterparty_amount_cv,repeat_ratio,community_internal_ratio,louvain_community,split,ring_id,ring_type,rings_attributed,ring_types_attributed,is_mule
MULE_T_0000,7,3,0.42857142857142855,0.42857142857142855,986362.63,545699.66,0.5532444539238766,0.9760219773490155,0.0,0.875,0.0,0.29591800410182717,0.03889063066934862,0.3695652173913043,0.74774816059729,0.665611797443891,4.6004055527271595,0.16923076923076924,16,train,0,fast_cycle,0,fast_cycle,1
MULE_T_0001,1,4,4.0,0.25,518488.23,437340.99,0.8434926209370326,0.6764962268822725,0.0,0.8,0.0,1.0,0.030273427919108278,0.26666666666666666,0.6622653095196076,1.102199546985992,6.000528981818034,0.16923076923076924,16,train,0,fast_cycle,0,fast_cycle,1
MULE_T_0002,2,2,1.0,1.0,426839.53,760129.39,0.561535357137397,0.5960868140173005,0.0,0.75,0.0,0.9522301647361124,0.023694754125041285,0.36363636363636365,0.540417521591306,0.9288568133325867,8.250727349999798,0.16923076923076924,16,train,0,fast_cycle,0,fast_cycle,1
MULE_T_0003,1,4,4.0,0.25,756699.26,821751.28,0.9208373310428684,0.691918682192521,0.0,0.4,0.0,1.0,0.042973710919689816,0.43902439024390244,0.4713899593482912,1.1164687476391206,8.200722941817979,0.16923076923076924,16,train,0,fast_cycle,0,fast_cycle,1
MULE_T_0004,1,3,3.0,0.3333333333333333,805500.59,492217.71,0.6110705792553585,0.5849719852624389,0.0,0.5,0.0,1.0,0.029686055412029837,0.35294117647058826,0.4867923069167189,0.9327109113772212,8.500749390908881,0.16923076923076924,16,train,0,fast_cycle,0,fast_cycle,1
MULE_T_0005,9,3,0.3333333333333333,0.3333333333333333,2211948.46,692111.5,0.3128967592979373,9.3018859768742,0.007575757575757576,0.3,0.0,0.5000319262125498,0.044005943108710824,0.24528301886792453,0.6328380805076018,0.6785441537297701,4.417056056060497,0.11512415349887133,11,train,1,fast_cycle,1,fast_cycle,1
MULE_T_0006,3,1,0.3333333333333333,0.3333333333333333,779423.96,1540998.1,0.5057916436073374,1.6492278639749516,0.0,0.5,0.0,0.9464568321691512,0.03456881274266187,0.25,0.5582658113701295,0.9480153550504544,9.00079347272705,0.11512415349887133,11,train,1,fast_cycle,1,fast_cycle,1
MULE_T_0007,7,3,0.42857142857142855,0.42857142857142855,1062971.94,564718.32,0.5312636236796383,0.8784850935993535,0.011111111111111112,0.4,0.0,0.6039788285202792,0.0321749818512993,0.175,0.5577895202488755,0.6441058878839975,4.000352654545356,0.1407942238267148,2,train,2,fast_cycle,2,fast_cycle,1
MULE_T_0008,2,3,1.5,0.6666666666666666,560199.56,846142.1,0.6620632199905656,0.7540910181650039,0.0,0.4,0.0,0.9552847950424694,0.03302710630943876,0.2,0.7280462782268415,1.11046125218196,8.000705309090712,0.1407942238267148,2,train,2,fast_cycle,2,fast_cycle,1
MULE_T_0009,2,1,0.5,0.5,859236.23,818816.28,0.9529582878393102,0.6007286178125667,0.0,0.6666666666666666,0.0,0.9759362838347658,0.05822421534333867,0.1388888888888889,0.3869156051115066,0.6668629784088862,12.001057963636068,0.1407942238267148,2,train,2,fast_cycle,2,fast_cycle,1
