sender,receiver,amount,timestamp,is_mule,edge_role,ring_id,ring_type,split
UPI_00912,UPI_00247,18948.71,2025-01-01 00:04:44.000000,0,organic_forward,-1,organic,train
UPI_01454,UPI_01757,35832.21,2025-01-01 00:08:40.000000,0,organic_payout,-1,organic,train
UPI_01944,UPI_02099,322.67,2025-01-01 00:19:23.000000,0,organic_frequent,-1,organic,train
UPI_02680,UPI_02959,1049.35,2025-01-01 00:21:52.000000,0,organic_social,-1,organic,train
UPI_00956,UPI_02973,799.0,2025-01-01 01:10:58.000000,0,organic_subscription,-1,organic,train
UPI_01670,UPI_02432,1759.98,2025-01-01 02:23:49.000000,0,organic_oneoff,-1,organic,train
UPI_01832,UPI_02634,1534.61,2025-01-01 04:01:39.000000,0,organic_merchant,-1,organic,train
UPI_02224,UPI_01996,3574.38,2025-01-01 04:08:03.000000,0,organic_merchant,-1,organic,train
UPI_02992,UPI_01681,99.0,2025-01-01 04:19:30.000000,0,organic_subscription,-1,organic,train
UPI_02524,UPI_01236,18031.07,2025-01-01 05:08:58.000000,0,organic_forward,-1,organic,train
UPI_00972,UPI_02638,22411.68,2025-01-01 05:36:56.000000,0,organic_forward,-1,organic,train
UPI_02860,UPI_02432,1054.34,2025-01-01 05:44:03.000000,0,organic_merchant,-1,organic,train
UPI_01925,UPI_01794,1214.16,2025-01-01 05:49:39.000000,0,organic_oneoff,-1,organic,train
UPI_01412,UPI_02071,499.0,2025-01-01 05:50:52.000000,0,organic_subscription,-1,organic,train
UPI_01118,UPI_00196,5309.82,2025-01-01 06:03:20.000000,0,organic_social,-1,organic,train
UPI_00427,UPI_00399,2465.7,2025-01-01 06:20:05.000000,0,organic_merchant,-1,organic,train
UPI_01719,UPI_01361,3204.39,2025-01-01 06:20:30.000000,0,organic_social,-1,organic,train
UPI_02442,UPI_00188,4354.64,2025-01-01 06:24:37.000000,0,organic_merchant,-1,organic,train
UPI_00514,UPI_01151,199.0,2025-01-01 06:26:40.000000,0,organic_subscription,-1,organic,train
UPI_01109,UPI_01902,2718.94,2025-01-01 06:28:05.000000,0,organic_social,-1,organic,train
UPI_01702,UPI_01681,649.0,2025-01-01 06:28:11.000000,0,organic_subscription,-1,organic,train
UPI_01271,UPI_00966,11558.25,2025-01-01 06:35:41.000000,0,organic_oneoff,-1,organic,train
UPI_00563,UPI_02943,8294.48,2025-01-01 06:40:40.000000,0,organic_merchant,-1,organic,train
UPI_02558,UPI_00018,2762.83,2025-01-01 06:43:55.000000,0,organic_merchant,-1,organic,train
UPI_02082,UPI_00380,558.25,2025-01-01 06:50:01.000000,0,organic_frequent,-1,organic,train
UPI_02644,UPI_00930,17244.08,2025-01-01 06:53:15.000000,0,organic_merchant,-1,organic,train
UPI_00655,UPI_02977,4906.34,2025-01-01 06:54:22.000000,0,organic_merchant,-1,organic,train
UPI_01322,UPI_00214,9129.78,2025-01-01 06:56:23.000000,0,organic_payout,-1,organic,train
UPI_00227,UPI_01053,8900.0,2025-01-01 07:00:33.000000,0,organic_emi,-1,organic,train
UPI_00607,UPI_01475,10500.0,2025-01-01 07:01:19.000000,0,organic_emi,-1,organic,train
UPI_00751,UPI_00844,799.0,2025-01-01 07:03:04.000000,0,organic_subscription,-1,organic,train
UPI_00679,UPI_02349,3126.38,2025-01-01 07:03:09.000000,0,organic_social,-1,organic,train
UPI_02074,UPI_02186,15000.0,2025-01-01 07:03:17.000000,0,organic_emi,-1,organic,train
UPI_00024,UPI_00901,11500.0,2025-01-01 07:05:07.000000,0,organic_emi,-1,organic,train
